"MIXINGCOEFFICIENT.1.","MIXINGCOEFFICIENT.2.","MIXINGCOEFFICIENT.3.","MIXINGCOEFFICIENT.4.","MIXINGCOEFFICIENT.5.","MIXINGCOEFFICIENT.6.","MIXINGCOEFFICIENT.7.","MIXINGCOEFFICIENT.8.","MIXINGCOEFFICIENT.9.","MIXINGCOEFFICIENT.10.","MIXINGCOEFFICIENT.11.","MIXINGCOEFFICIENT.12.","MIXINGCOEFFICIENT.13.","MIXINGCOEFFICIENT.14.","MIXINGCOEFFICIENT.15.","MIXINGCOEFFICIENT.16.","MIXINGCOEFFICIENT.17.","MIXINGCOEFFICIENT.18.","MIXINGCOEFFICIENT.19.","MIXINGCOEFFICIENT.20.","MIXINGCOEFFICIENT.21.","MIXINGCOEFFICIENT.22.","MIXINGCOEFFICIENT.23.","MIXINGCOEFFICIENT.24.","MIXINGCOEFFICIENT.25.","MIXINGCOEFFICIENT.26.","MIXINGCOEFFICIENT.27.","MIXINGCOEFFICIENT.28.","MIXINGCOEFFICIENT.29.","MIXINGCOEFFICIENT.30.","MIXINGCOEFFICIENT.31.","MIXINGCOEFFICIENT.32.","MIXINGCOEFFICIENT.33.","MIXINGCOEFFICIENT.34.","MIXINGCOEFFICIENT.35.","MIXINGCOEFFICIENT.36.","MIXINGCOEFFICIENT.37.","MIXINGCOEFFICIENT.38.","MIXINGCOEFFICIENT.39.","MIXINGCOEFFICIENT.40.","MIXINGCOEFFICIENT.41.","MIXINGCOEFFICIENT.42.","MIXINGCOEFFICIENT.43.","MIXINGCOEFFICIENT.44.","MIXINGCOEFFICIENT.45.","MIXINGCOEFFICIENT.46.","MIXINGCOEFFICIENT.47.","MIXINGCOEFFICIENT.48.","MIXINGCOEFFICIENT.49.","MIXINGCOEFFICIENT.50.","MIXINGCOEFFICIENT.51."
"1",0.00011513313,0.016783568,0.031846253,0.045704243,0.058636225,0.070793784,0.082271362,0.093133284,0.1034262,0.11318561,0.12243965,0.13121144,0.13952065,0.14738459,0.15481907,0.16183901,0.16845898,0.17469372,0.18055851,0.18606964,0.19124481,0.19610357,0.20066772,0.20496183,0.20901364,0.21285458,0.19967996,0.18671861,0.17397935,0.16147261,0.14921076,0.13720855,0.12548383,0.11405852,0.10299849,0.09237293,0.082269441,0.065707533,0.04784804,0.031198518,0.0076539222,0.0030287326,0.0030504114,0.0022739378,0.0020455082,0.002064393,0.0021707196,0.0023022607,0.0025794146,0.0032660603,3.5035979e-06
"2",9.8107173e-05,0.014204509,0.026825741,0.038345407,0.049075298,0.059123562,0.068605564,0.077560303,0.086028062,0.09405213,0.10165582,0.10886057,0.11568097,0.12213824,0.12824876,0.13403432,0.13950961,0.14469707,0.1496096,0.15426082,0.15867665,0.16276108,0.16588335,0.16853044,0.17087262,0.17268904,0.16187762,0.15125824,0.14071467,0.1302673,0.11994039,0.10966989,0.099667683,0.090008557,0.080709059,0.071800748,0.063429025,0.055014662,0.04796269,0.041407181,0.034547781,0.028959012,0.023719441,0.018830659,0.014264522,0.0091010977,0.0038576694,0.002461124,0.0017336042,0.0012724671,2.1763746e-06
"3",0.00011754492,0.017121974,0.032482167,0.046626505,0.059850301,0.072316335,0.084127707,0.095356002,0.10605428,0.1162639,0.12601847,0.13534629,0.144272,0.15281768,0.16100369,0.16884929,0.17637316,0.18359379,0.1905298,0.19720033,0.20362523,0.20982536,0.21582282,0.22164115,0.22730553,0.23284296,0.21980572,0.20697947,0.19436763,0.18197448,0.16980519,0.15786587,0.14616451,0.13471245,0.12351907,0.11237742,0.10118696,0.090169103,0.079337983,0.068835544,0.058438361,0.049207225,0.040962057,0.033172969,0.025876569,0.018931794,0.012054493,0.0062403817,0.0025280742,0.0013915539,2.3367982e-06
"4",6.4930935e-05,0.0092726743,0.017397202,0.024744471,0.031551385,0.037607012,0.043344201,0.048671729,0.053740339,0.058553191,0.063081618,0.067363168,0.071385927,0.075160531,0.07869544,0.082031692,0.08515403,0.088020424,0.090722663,0.093278878,0.095595201,0.097792039,0.099828843,0.10175074,0.10355913,0.10521113,0.099130566,0.09317637,0.087297832,0.081501659,0.075798364,0.070182704,0.064669557,0.059271363,0.053992433,0.048843969,0.043827384,0.038930662,0.034181101,0.029582281,0.025041106,0.020391017,0.015541031,0.01047968,0.0057395746,0.0026775007,0.00093112677,0.00021968015,2.5675129e-05,9.3138992e-06,6.5720877e-07
"5",0.00011000497,0.015965841,0.030198706,0.043232126,0.055348733,0.066704023,0.07739634,0.087493856,0.097047011,0.10609507,0.11466992,0.12279846,0.13050418,0.13780831,0.14473066,0.15129028,0.157506,0.16339694,0.16898294,0.17428493,0.17924003,0.18373395,0.18796436,0.19195586,0.19575084,0.19932428,0.18691188,0.1750679,0.16338236,0.15189681,0.14059377,0.12944203,0.11832102,0.1071513,0.096022749,0.085035363,0.074360645,0.063689158,0.053642074,0.044722851,0.036921449,0.030167961,0.024296045,0.019083965,0.015064112,0.01193548,0.0083268913,0.0061658235,0.0045563638,0.0029542908,3.5163312e-06
"6",0.00011333893,0.016470445,0.031189181,0.044700463,0.05729486,0.069132797,0.080316124,0.090915727,0.10098426,0.11056286,0.11968497,0.12837883,0.136669,0.14457755,0.15212482,0.15933007,0.16621197,0.17278904,0.17907998,0.18510397,0.19088103,0.1964322,0.20177983,0.2069478,0.21196175,0.2168492,0.20444285,0.19224886,0.18027011,0.16851111,0.15697757,0.14567022,0.13452573,0.1235353,0.11272421,0.10206289,0.09160926,0.081406442,0.071458974,0.06130266,0.052000795,0.042776204,0.034260727,0.026005781,0.017326567,0.012069659,0.00774901,0.004736454,0.0024337706,0.0012049462,2.0897268e-06
"7",6.9402415e-05,0.0098685473,0.018399914,0.026097195,0.033220329,0.039842449,0.046004121,0.05178894,0.057195279,0.062309712,0.067121417,0.071678979,0.076031157,0.080152294,0.084045844,0.087648721,0.091049906,0.094248066,0.097250681,0.10006591,0.10264183,0.10498925,0.10723564,0.10939622,0.11147278,0.11343691,0.10699721,0.10064867,0.09438064,0.088200575,0.082118632,0.076146888,0.070272315,0.064525918,0.058910035,0.05342778,0.048078399,0.042860259,0.037793193,0.032769039,0.028219946,0.023823954,0.019582789,0.015311704,0.0094456167,0.0044586341,0.00090563377,0.00020074377,3.1851893e-05,1.118047e-05,6.2720524e-07
"8",7.5559217e-05,0.010862203,0.020444778,0.029018677,0.03696685,0.044297172,0.051183237,0.057675109,0.06376526,0.069432306,0.074755993,0.079745791,0.084419111,0.088777703,0.092842701,0.096632107,0.10016543,0.10341921,0.10639231,0.10913272,0.11162915,0.11388334,0.11586397,0.11759717,0.11914555,0.12039315,0.11306859,0.10595851,0.098881255,0.091874956,0.084979124,0.078202629,0.071560768,0.065046708,0.058684672,0.052495764,0.046487614,0.040631276,0.034683914,0.028918555,0.02298456,0.016771047,0.0089783759,0.0031944217,0.00080825048,0.00027684059,0.00010197344,3.6654658e-05,1.1630037e-05,7.0149839e-06,5.8120453e-07
"9",6.513667e-05,0.0091673974,0.017000323,0.023944665,0.03022461,0.035922314,0.04116399,0.045915078,0.050299698,0.054305263,0.057965116,0.061242131,0.064249677,0.066947073,0.069388745,0.071488516,0.073190463,0.074272037,0.074788595,0.074887203,0.073962649,0.073562472,0.072910908,0.072027247,0.070654331,0.068360586,0.063464292,0.058754454,0.053921198,0.04903607,0.044204366,0.039513452,0.034914798,0.030423105,0.026226796,0.022179179,0.01812379,0.014735217,0.011374501,0.0076036591,0.0041890864,0.0010132985,0.0003861626,0.00012519361,3.3061341e-05,2.5815484e-05,1.876599e-05,1.3130471e-05,9.2358014e-06,8.1159571e-06,6.6150563e-07
"10",9.3344538e-05,0.01348969,0.025453912,0.036370569,0.046486156,0.055936494,0.064807731,0.073159728,0.081036833,0.088473546,0.095497801,0.10213303,0.1083995,0.11431531,0.11989708,0.1251605,0.13012078,0.13479305,0.13919268,0.1433356,0.14723861,0.15091964,0.15439805,0.15769489,0.16083316,0.16356266,0.1535243,0.14380223,0.13416791,0.1246778,0.11537526,0.10628146,0.097408865,0.088773684,0.080396533,0.07223426,0.063926877,0.054867315,0.045655885,0.036491469,0.026132437,0.014431633,0.0066378049,0.0015806426,0.00036262846,4.7485243e-05,2.447489e-05,1.4294817e-05,1.0084631e-05,9.9510036e-06,6.341763e-07
